id;email_destino;template_email;semana;segundafeira;tercafeira;quartafeira;quintafeira;sextafeira;sabado;domingo;segunda_feira_email_enviado;terca_feira_email_enviado;quarta_feira_email_enviado;quinta_feira_email_enviado;sexta_feira_email_enviado;sabado_email_enviado;domingo_email_enviado
1;Niue Investor;../fake-data/blob/hipster.txt;2022-06-08;2022-06-08T10:12:44;2022-06-08T09:58:58;2022-06-08T02:43:50;2022-06-08T02:30:13;2022-06-07T16:38:21;2022-06-08T08:18:32;2022-06-07T21:41:25;false;true;false;true;true;true;false
2;convergence SDD;../fake-data/blob/hipster.txt;2022-06-08;2022-06-08T08:04:16;2022-06-08T06:29:59;2022-06-08T07:14:54;2022-06-07T21:58:52;2022-06-08T12:58:50;2022-06-08T13:02:47;2022-06-08T09:44:35;false;false;false;false;true;false;false
3;expedite Granito open-source;../fake-data/blob/hipster.txt;2022-06-08;2022-06-08T01:31:44;2022-06-08T10:10:12;2022-06-08T07:18:54;2022-06-07T21:38:31;2022-06-07T15:26:09;2022-06-08T10:37:22;2022-06-07T20:36:16;false;false;true;true;true;true;false
4;USB Rodovia actuating;../fake-data/blob/hipster.txt;2022-06-07;2022-06-07T14:28:50;2022-06-07T19:51:56;2022-06-08T09:39:31;2022-06-08T08:36:16;2022-06-08T02:51:28;2022-06-07T20:09:12;2022-06-08T06:57:55;true;false;true;true;true;false;false
5;Berkshire RAM;../fake-data/blob/hipster.txt;2022-06-08;2022-06-07T23:22:47;2022-06-08T08:00:48;2022-06-08T05:47:50;2022-06-08T07:11:54;2022-06-07T17:48:55;2022-06-07T17:11:43;2022-06-07T15:12:58;false;true;true;true;true;true;false
6;4th;../fake-data/blob/hipster.txt;2022-06-07;2022-06-08T03:05:45;2022-06-07T23:17:23;2022-06-08T05:11:14;2022-06-07T20:41:39;2022-06-08T09:30:05;2022-06-07T20:41:50;2022-06-07T18:01:25;false;false;false;true;false;true;false
7;Fresco;../fake-data/blob/hipster.txt;2022-06-08;2022-06-08T04:25:26;2022-06-07T22:47:41;2022-06-08T11:42:52;2022-06-07T22:19:57;2022-06-07T17:00:59;2022-06-08T01:00:40;2022-06-08T00:14:55;true;true;false;false;false;false;true
8;EXE;../fake-data/blob/hipster.txt;2022-06-08;2022-06-08T05:44:25;2022-06-07T22:00:08;2022-06-08T11:21:34;2022-06-07T18:32:28;2022-06-08T14:10:20;2022-06-08T11:26:51;2022-06-07T18:15:47;false;false;false;true;true;false;true
9;Equador Account;../fake-data/blob/hipster.txt;2022-06-08;2022-06-08T07:27:29;2022-06-08T12:28:32;2022-06-08T04:26:41;2022-06-08T07:19:48;2022-06-07T14:57:54;2022-06-08T07:50:14;2022-06-08T05:28:40;false;true;true;true;false;true;true
10;Saúde Computador content;../fake-data/blob/hipster.txt;2022-06-07;2022-06-08T02:39:48;2022-06-08T03:48:31;2022-06-08T06:11:50;2022-06-07T21:41:48;2022-06-07T23:16:53;2022-06-07T16:17:02;2022-06-08T01:57:12;false;false;true;true;false;false;true
